tokenized_sents,duplicate
The elderly scholar had been collecting legends of the Onga tribes near the field of his grandfathers and his own explorations hoping in some way to account for Sir Wades wild tales of a lost city peopled by strange hybrid creatures,The elderly scholar had been collecting legends of the Onga tribes near the field of his grandfathers and his own explorations hoping in some way to account for Sir Wades wild tales of a lost city peopled by strange hybrid creatures
The town was getting more and more on my nerves and I looked behind me furtively as I picked my way back over the tottering Water Street bridge,The town was getting more and more on my nerves and I looked behind me furtively as I picked my way back over the tottering Water Street bridge
I have merely set down certain things appealing to me as facts allowing you to construe them as you will,I have merely set down certain things appealing to me as facts allowing you to construe them as you will
Better be cautious in these old places our rodent friends are the one drawback though I sometimes think they are a positive asset by way of atmosphere and colour,Better be cautious in these old places our rodent friends are the one drawback though I sometimes think they are a positive asset by way of atmosphere and colour
Do not think I was a fool you ought to have seen that skull,Do not think I was a fool you ought to have seen that skull
I should not call that sound a voice for it was too awful,I should not call that sound a voice for it was too awful
The sight turned him giddy after a while so that he would have fallen to the pavement had he not clutched instinctively at the lustrous balustrade,The sight turned him giddy after a while so that he would have fallen to the pavement had he not clutched instinctively at the lustrous balustrade
Approaching him softly though without apparent furtiveness were five figures two of which were the sinister old woman and the fanged furry little animal,Approaching him softly though without apparent furtiveness were five figures two of which were the sinister old woman and the fanged furry little animal
He was getting an intuitive knack for solving Riemannian equations and astonished Professor Upham by his comprehension of fourth dimensional and other problems which had floored all the rest of the class,He was getting an intuitive knack for solving Riemannian equations and astonished Professor Upham by his comprehension of fourth dimensional and other problems which had floored all the rest of the class
That fishing paid less and less as the price of the commodity fell and large scale corporations offered competition but there was never a dearth of fish around Innsmouth Harbour,That fishing paid less and less as the price of the commodity fell and large scale corporations offered competition but there was never a dearth of fish around Innsmouth Harbour
The blood and soul of the people were as the blood and soul of their ancestors who had fashioned The Street,The blood and soul of the people were as the blood and soul of their ancestors who had fashioned The Street
His aspect and voice became utterly frightful and his presence almost unbearable,His aspect and voice became utterly frightful and his presence almost unbearable
I bought an automatic and almost took the step but certain dreams deterred me,I bought an automatic and almost took the step but certain dreams deterred me
The odour arising from the newly opened depths was intolerable and at length the quick eared Hawkins thought he heard a nasty slopping sound down there,The odour arising from the newly opened depths was intolerable and at length the quick eared Hawkins thought he heard a nasty slopping sound down there
The bas relief was a rough rectangle less than an inch thick and about five by six inches in area obviously of modern origin,The bas relief was a rough rectangle less than an inch thick and about five by six inches in area obviously of modern origin
Curtis who had held the instrument dropped it with a piercing shriek into the ankle deep mud of the road,Curtis who had held the instrument dropped it with a piercing shriek into the ankle deep mud of the road
I remember that once a Foreigner a German I think was in our Company and that whilst Goldsmith was speaking he observd the Doctor preparing to utter something,I remember that once a Foreigner a German I think was in our Company and that whilst Goldsmith was speaking he observd the Doctor preparing to utter something
I did not enlarge his knowledge in this regard but sought with some subtlety to draw him out,I did not enlarge his knowledge in this regard but sought with some subtlety to draw him out
Now we have only this one thing to fight and it cannot multiply,Now we have only this one thing to fight and it cannot multiply
The white apes and the stuffed goddess were discussed with all the native chiefs of the region but it remained for a European to improve on the data offered by old Mwanu,The white apes and the stuffed goddess were discussed with all the native chiefs of the region but it remained for a European to improve on the data offered by old Mwanu
The boxed object was delivered at Jermyn House on the afternoon of August   being conveyed immediately to the large chamber which housed the collection of African specimens as arranged by Sir Robert and Arthur,The boxed object was delivered at Jermyn House on the afternoon of August   being conveyed immediately to the large chamber which housed the collection of African specimens as arranged by Sir Robert and Arthur
It seemed to be a sort of monster or symbol representing a monster of a form which only a diseased fancy could conceive,It seemed to be a sort of monster or symbol representing a monster of a form which only a diseased fancy could conceive
Presently the two people simply villagers apparently farthest in the lead saw me and stood paralysed,Presently the two people simply villagers apparently farthest in the lead saw me and stood paralysed
The rumour now spread widely that these houses contained the leaders of a vast band of terrorists who on a designated day were to launch an orgy of slaughter for the extermination of America and of all the fine old traditions which The Street had loved,The rumour now spread widely that these houses contained the leaders of a vast band of terrorists who on a designated day were to launch an orgy of slaughter for the extermination of America and of all the fine old traditions which The Street had loved
It happened once before but the man got frightened and shot himself,It happened once before but the man got frightened and shot himself
The body must have looked even worse in life but the world holds many ugly things,The body must have looked even worse in life but the world holds many ugly things
His expressionless face was handsome to the point of radiant beauty but had shocked the superintendent when the hall light fell on it for it was a wax face with eyes of painted glass,His expressionless face was handsome to the point of radiant beauty but had shocked the superintendent when the hall light fell on it for it was a wax face with eyes of painted glass
The fishy odour dispelled for a moment by some merciful breeze now closed in again with maddening intensity,The fishy odour dispelled for a moment by some merciful breeze now closed in again with maddening intensity
Malitia vetus malitia vetus est   ,Malitia vetus malitia vetus est   
Soon they became excessively numerous like impious catacombs of nameless menace and their pungent odour of decay grew quite unbearable,Soon they became excessively numerous like impious catacombs of nameless menace and their pungent odour of decay grew quite unbearable
There were two armlets a tiara and a kind of pectoral the latter having in high relief certain figures of almost unbearable extravagance,There were two armlets a tiara and a kind of pectoral the latter having in high relief certain figures of almost unbearable extravagance
March st our February th according to the International Date Line the earthquake and storm had come,March st our February th according to the International Date Line the earthquake and storm had come
He did not laugh as I paused but asked quite seriously about the boy who went mad in  and who had presumably been the hero of my fiction,He did not laugh as I paused but asked quite seriously about the boy who went mad in  and who had presumably been the hero of my fiction
Negotium perambulans in tenebris   ,Negotium perambulans in tenebris   
They did not expect to hear Sir Alfred Jermyn emit a shrill inhuman scream or to see him seize his clumsy antagonist with both hands dash it to the floor of the cage and bite fiendishly at its hairy throat,They did not expect to hear Sir Alfred Jermyn emit a shrill inhuman scream or to see him seize his clumsy antagonist with both hands dash it to the floor of the cage and bite fiendishly at its hairy throat
He had refused to take pay for it and only long afterward did I guess why,He had refused to take pay for it and only long afterward did I guess why
The procession of clerics began filing down the steep stairs through the trap door in the floor turning and making menacing gestures as they left,The procession of clerics began filing down the steep stairs through the trap door in the floor turning and making menacing gestures as they left
Gabinius had the rumour ran come upon a cliffside cavern where strange folk met together and made the Elder Sign in the dark strange folk whom the Britons knew not save in fear and who were the last to survive from a great land in the west that had sunk leaving only the islands with the raths and circles and shrines of which Stonehenge was the greatest,Gabinius had the rumour ran come upon a cliffside cavern where strange folk met together and made the Elder Sign in the dark strange folk whom the Britons knew not save in fear and who were the last to survive from a great land in the west that had sunk leaving only the islands with the raths and circles and shrines of which Stonehenge was the greatest
Jan Martense whose room I had invaded was buried in the graveyard near the mansion   ,Jan Martense whose room I had invaded was buried in the graveyard near the mansion   
I had been lying with my face away from my uncles chair so that in this sudden flash of awakening I saw only the door to the street the more northerly window and the wall and floor and ceiling toward the north of the room all photographed with morbid vividness on my brain in a light brighter than the glow of the fungi or the rays from the street outside,I had been lying with my face away from my uncles chair so that in this sudden flash of awakening I saw only the door to the street the more northerly window and the wall and floor and ceiling toward the north of the room all photographed with morbid vividness on my brain in a light brighter than the glow of the fungi or the rays from the street outside
His questioning grew more than medically tense and his hands shook as he dressed the mangled members binding them as if he wished to get the wounds out of sight as quickly as possible,His questioning grew more than medically tense and his hands shook as he dressed the mangled members binding them as if he wished to get the wounds out of sight as quickly as possible
God What wonder that across the earth a great architect went mad and poor Wilcox raved with fever in that telepathic instant,God What wonder that across the earth a great architect went mad and poor Wilcox raved with fever in that telepathic instant
The ridged barrel shaped centre the thin radiating arms the knobs at each end and the flat slightly outward curving starfish arms spreading from those knobs all were there,The ridged barrel shaped centre the thin radiating arms the knobs at each end and the flat slightly outward curving starfish arms spreading from those knobs all were there
But when he looked he did not see what he had expected for his colleagues were not there at all but only the Terrible Old Man leaning quietly on his knotted cane and smiling hideously,But when he looked he did not see what he had expected for his colleagues were not there at all but only the Terrible Old Man leaning quietly on his knotted cane and smiling hideously
I never sought to return to those tenebrous labyrinths nor would I direct any sane man thither if I could,I never sought to return to those tenebrous labyrinths nor would I direct any sane man thither if I could
The flutes piped horribly and again I heard the beating of the drums from the direction of the island ruin,The flutes piped horribly and again I heard the beating of the drums from the direction of the island ruin
Poor Matt Matt he allus was agin it tried to line up the folks on his side an had long talks with the preachers no use they run the Congregational parson aout o taown an the Methodist feller quit never did see Resolved Babcock the Baptist parson agin Wrath o Jehovy I was a mighty little critter but I heerd what I heerd an seen what I seen Dagon an Ashtoreth Belial an BeAlzebub Golden Caff an the idols o Canaan an the Philistines Babylonish abominations Mene mene tekel upharsin  He stopped again and from the look in his watery blue eyes I feared he was close to a stupor after all,Poor Matt Matt he allus was agin it tried to line up the folks on his side an had long talks with the preachers no use they run the Congregational parson aout o taown an the Methodist feller quit never did see Resolved Babcock the Baptist parson agin Wrath o Jehovy I was a mighty little critter but I heerd what I heerd an seen what I seen Dagon an Ashtoreth Belial an BeAlzebub Golden Caff an the idols o Canaan an the Philistines Babylonish abominations Mene mene tekel upharsin  He stopped again and from the look in his watery blue eyes I feared he was close to a stupor after all
The archaic lanes and houses and unexpected bits of square and court had indeed delighted me and when I found the poets and artists to be loud voiced pretenders whose quaintness is tinsel and whose lives are a denial of all that pure beauty which is poetry and art I stayed on for love of these venerable things,The archaic lanes and houses and unexpected bits of square and court had indeed delighted me and when I found the poets and artists to be loud voiced pretenders whose quaintness is tinsel and whose lives are a denial of all that pure beauty which is poetry and art I stayed on for love of these venerable things
In this walk so many times repeated the worlds greatest master of the terrible and the bizarre was obliged to pass a particular house on the eastern side of the street a dingy antiquated structure perched on the abruptly rising side hill with a great unkempt yard dating from a time when the region was partly open country,In this walk so many times repeated the worlds greatest master of the terrible and the bizarre was obliged to pass a particular house on the eastern side of the street a dingy antiquated structure perched on the abruptly rising side hill with a great unkempt yard dating from a time when the region was partly open country
The small object on the table fascinated me intensely,The small object on the table fascinated me intensely
The old captains of the sea came often to my grandfather and told him of these things which in turn he told to my father and my father told to me in the long autumn evenings when the wind howled eerily from the East,The old captains of the sea came often to my grandfather and told him of these things which in turn he told to my father and my father told to me in the long autumn evenings when the wind howled eerily from the East
On a pair of golden crouching lions rested the throne many steps above the gleaming floor,On a pair of golden crouching lions rested the throne many steps above the gleaming floor
After all the strangest and maddest of myths are often merely symbols or allegories based upon truth and old Zadok must have seen everything which went on around Innsmouth for the last ninety years,After all the strangest and maddest of myths are often merely symbols or allegories based upon truth and old Zadok must have seen everything which went on around Innsmouth for the last ninety years
The whole cohort now remained at a standstill and as the torches faded I watched what I thought were fantastic shadows outlined in the sky by the spectral luminosity of the Via Lactea as it flowed through Perseus Cassiopeia Cepheus and Cygnus,The whole cohort now remained at a standstill and as the torches faded I watched what I thought were fantastic shadows outlined in the sky by the spectral luminosity of the Via Lactea as it flowed through Perseus Cassiopeia Cepheus and Cygnus
It was the mind and character of Arthur Jermyn which atoned for his aspect,It was the mind and character of Arthur Jermyn which atoned for his aspect
God man Do not you realise that places like that were not merely made but actually grew,God man Do not you realise that places like that were not merely made but actually grew
They say too that the fierce aurora comes oftener to that spot shining blue in the north with visions of frozen worlds while the crag and the cottage hang black and fantastic against wild coruscations,They say too that the fierce aurora comes oftener to that spot shining blue in the north with visions of frozen worlds while the crag and the cottage hang black and fantastic against wild coruscations
But neither ship nor land appeared and I began to despair in my solitude upon the heaving vastnesses of unbroken blue,But neither ship nor land appeared and I began to despair in my solitude upon the heaving vastnesses of unbroken blue
My knock was answered in good English by a curious voice some distance to the right asking my name and business and these things being stated there came an opening of the door next to the one I had sought,My knock was answered in good English by a curious voice some distance to the right asking my name and business and these things being stated there came an opening of the door next to the one I had sought
At last the spring thaw came and graves were laboriously prepared for the nine silent harvests of the grim reaper which waited in the tomb,At last the spring thaw came and graves were laboriously prepared for the nine silent harvests of the grim reaper which waited in the tomb
My own column was sucked toward the open country and presently felt a chill which was not of the hot autumn for as we stalked out on the dark moor we beheld around us the hellish moon glitter of evil snows,My own column was sucked toward the open country and presently felt a chill which was not of the hot autumn for as we stalked out on the dark moor we beheld around us the hellish moon glitter of evil snows
Perhaps it was at first only the manifest reluctance of my old preceptor to discuss with me my paternal ancestry that gave rise to the terror which I ever felt at the mention of my great house yet as I grew out of childhood I was able to piece together disconnected fragments of discourse let slip from the unwilling tongue which had begun to falter in approaching senility that had a sort of relation to a certain circumstance which I had always deemed strange but which now became dimly terrible,Perhaps it was at first only the manifest reluctance of my old preceptor to discuss with me my paternal ancestry that gave rise to the terror which I ever felt at the mention of my great house yet as I grew out of childhood I was able to piece together disconnected fragments of discourse let slip from the unwilling tongue which had begun to falter in approaching senility that had a sort of relation to a certain circumstance which I had always deemed strange but which now became dimly terrible
Spurred by an impulse he did not originate Gilman dragged himself forward along a course determined by the angle of the old womans arms and the direction of the small monstrositys paw and before he had shuffled three steps he was back in the twilight abysses,Spurred by an impulse he did not originate Gilman dragged himself forward along a course determined by the angle of the old womans arms and the direction of the small monstrositys paw and before he had shuffled three steps he was back in the twilight abysses
A Sicilian owns it and I have hired it under the name of Peters,A Sicilian owns it and I have hired it under the name of Peters
The moribund hermit is rage and fear swelling to grotesque proportions seemed likely to shatter what remained of his failing physique and once a spasm caused him to clap his hands to his eyes and rush into the bathroom,The moribund hermit is rage and fear swelling to grotesque proportions seemed likely to shatter what remained of his failing physique and once a spasm caused him to clap his hands to his eyes and rush into the bathroom
And as he nodded and bared the black stumps of what had once been yellow fangs I clutched at the curtains to prevent myself from falling,And as he nodded and bared the black stumps of what had once been yellow fangs I clutched at the curtains to prevent myself from falling
I was too fond of ending my stories with sights or sounds which paralysed my heroes faculties and left them without courage words or associations to tell what they had experienced,I was too fond of ending my stories with sights or sounds which paralysed my heroes faculties and left them without courage words or associations to tell what they had experienced
What I wished was a comprehensive history of the site from its very settlement in or even before if any Narragansett Indian legend could be unearthed to supply the data,What I wished was a comprehensive history of the site from its very settlement in or even before if any Narragansett Indian legend could be unearthed to supply the data
You are not as badly off as you might be but you must get out of here at once and stay away,You are not as badly off as you might be but you must get out of here at once and stay away
Then said Iranon Wherefore do ye toil is it not that ye may live and be happy,Then said Iranon Wherefore do ye toil is it not that ye may live and be happy
Mazurewicz was waiting for him at the door and seemed both anxious and reluctant to whisper some fresh bit of superstition,Mazurewicz was waiting for him at the door and seemed both anxious and reluctant to whisper some fresh bit of superstition
They bend the forest and crush the city yet may not forest or city behold the hand that smites,They bend the forest and crush the city yet may not forest or city behold the hand that smites
Most of these however soon shewed their poverty and barrenness and he saw that the popular doctrines of occultism are as dry and inflexible as those of science yet without even the slender palliative of truth to redeem them,Most of these however soon shewed their poverty and barrenness and he saw that the popular doctrines of occultism are as dry and inflexible as those of science yet without even the slender palliative of truth to redeem them
There had however been a riot of some sort later on perhaps forty years later after old Roulet us death and no one seemed to hear of the family after that,There had however been a riot of some sort later on perhaps forty years later after old Roulet us death and no one seemed to hear of the family after that
He was trying to make a noise to ward something off or drown something out what I could not imagine awesome though I felt it must be,He was trying to make a noise to ward something off or drown something out what I could not imagine awesome though I felt it must be
The bus rather early rattled in with three passengers somewhat before eight and an evil looking fellow on the sidewalk muttered a few indistinguishable words to the driver,The bus rather early rattled in with three passengers somewhat before eight and an evil looking fellow on the sidewalk muttered a few indistinguishable words to the driver
It was as if the workmanship were that of another planet,It was as if the workmanship were that of another planet
He was comely even as thou but full of folly and strangeness and he ran away when small to find those who would listen gladly to his songs and dreams,He was comely even as thou but full of folly and strangeness and he ran away when small to find those who would listen gladly to his songs and dreams
Obviously it was organic or had once been organic   ,Obviously it was organic or had once been organic   
His clothing was badly rumpled and Joes crucifix was missing,His clothing was badly rumpled and Joes crucifix was missing
Then it was obvious that the pursuers were gaining,Then it was obvious that the pursuers were gaining
We approached the house from the field in the rear took the specimen in the back door and down the cellar stairs and prepared it for the usual experiment,We approached the house from the field in the rear took the specimen in the back door and down the cellar stairs and prepared it for the usual experiment
There followed a few spasmodic muscular motions and then an audible breathing and visible motion of the chest,There followed a few spasmodic muscular motions and then an audible breathing and visible motion of the chest
The aspect of the whole was abnormally life like and the more subtly fearful because its source was so totally unknown,The aspect of the whole was abnormally life like and the more subtly fearful because its source was so totally unknown
My identity too is bewilderingly cloudy,My identity too is bewilderingly cloudy
But so long as we do not move we are fairly safe,But so long as we do not move we are fairly safe
A full thousand cubits high stood the greatest among them wherein the high priests dwelt with a magnificence scarce less than that of the kings,A full thousand cubits high stood the greatest among them wherein the high priests dwelt with a magnificence scarce less than that of the kings
And I heard it hinted abroad that those who knew Nyarlathotep looked on sights which others saw not,And I heard it hinted abroad that those who knew Nyarlathotep looked on sights which others saw not
All at once I saw there were others in the room grave looking men in clerical costume one of whom wore the bands and knee breeches of a bishop,All at once I saw there were others in the room grave looking men in clerical costume one of whom wore the bands and knee breeches of a bishop
I could not at first understand the change but gradually a horrible sort of comparison began to obtrude itself on my unconscious mind despite the steady refusal of my consciousness to admit even the least suspicion of it,I could not at first understand the change but gradually a horrible sort of comparison began to obtrude itself on my unconscious mind despite the steady refusal of my consciousness to admit even the least suspicion of it
I spose you know though I can see you are a Westerner by your talk what a lot our New England ships used to have to do with queer ports in Africa Asia the South Seas and everywhere else and what queer kinds of people they sometimes brought back with em,I spose you know though I can see you are a Westerner by your talk what a lot our New England ships used to have to do with queer ports in Africa Asia the South Seas and everywhere else and what queer kinds of people they sometimes brought back with em
Evidently some blight or distemper perhaps sprung from the unwholesome pasturage or the diseased fungi and timbers of the filthy barn caused a heavy mortality amongst the Whateley animals,Evidently some blight or distemper perhaps sprung from the unwholesome pasturage or the diseased fungi and timbers of the filthy barn caused a heavy mortality amongst the Whateley animals
But the autumn wind moaned sad and wan and we could not be sure,But the autumn wind moaned sad and wan and we could not be sure
He felt it was highly necessary to get the ponderous thing home and begin deciphering it and bore it out of the shop with such precipitate haste that the old Jew chuckled disturbingly behind him,He felt it was highly necessary to get the ponderous thing home and begin deciphering it and bore it out of the shop with such precipitate haste that the old Jew chuckled disturbingly behind him
Complaints from many liberal organisations were met with long confidential discussions and representatives were taken on trips to certain camps and prisons,Complaints from many liberal organisations were met with long confidential discussions and representatives were taken on trips to certain camps and prisons
There was a hideous screaming which echoed above even the hill noises and the dogs barking on the night Wilbur was born but no known doctor or midwife presided at his coming,There was a hideous screaming which echoed above even the hill noises and the dogs barking on the night Wilbur was born but no known doctor or midwife presided at his coming
With one savage kick he sent the morbidity over the edge of the gulf and heard it whimper on some level far below,With one savage kick he sent the morbidity over the edge of the gulf and heard it whimper on some level far below
Inside wrapped in a discoloured parchment was a huge key of tarnished silver covered with cryptical arabesques but of any legible explanation there was none,Inside wrapped in a discoloured parchment was a huge key of tarnished silver covered with cryptical arabesques but of any legible explanation there was none
There was not much though that he could say,There was not much though that he could say
The pale enthusiast now applied some last perfunctory tests for absolute lifelessness withdrew satisfied and finally injected into the left arm an accurately measured amount of the vital elixir prepared during the afternoon with a greater care than we had used since college days when our feats were new and groping,The pale enthusiast now applied some last perfunctory tests for absolute lifelessness withdrew satisfied and finally injected into the left arm an accurately measured amount of the vital elixir prepared during the afternoon with a greater care than we had used since college days when our feats were new and groping
Something about them seemed so odd and provocative that I could not put them out of my mind and despite the relative lateness of the hour I resolved to see the local sample said to be a large queerly proportioned thing evidently meant for a tiara if it could possibly be arranged,Something about them seemed so odd and provocative that I could not put them out of my mind and despite the relative lateness of the hour I resolved to see the local sample said to be a large queerly proportioned thing evidently meant for a tiara if it could possibly be arranged
An indefinite dampness seemed upon the place and I marvelled that no fire should be blazing,An indefinite dampness seemed upon the place and I marvelled that no fire should be blazing
Still more shocking were the products of some of the experiments grisly masses of flesh that had been dead but that West waked to a blind brainless nauseous animation,Still more shocking were the products of some of the experiments grisly masses of flesh that had been dead but that West waked to a blind brainless nauseous animation
The surface I uncovered was fishy and glassy a kind of semi putrid congealed jelly with suggestions of translucency,The surface I uncovered was fishy and glassy a kind of semi putrid congealed jelly with suggestions of translucency
Something had caught my ancestor on a dark valley road leaving him with marks of horns on his chest and of ape like claws on his back and when they looked for prints in the trampled dust they found the mixed marks of split hooves and vaguely anthropoid paws,Something had caught my ancestor on a dark valley road leaving him with marks of horns on his chest and of ape like claws on his back and when they looked for prints in the trampled dust they found the mixed marks of split hooves and vaguely anthropoid paws
That glimpse like all dread glimpses of truth flashed out from an accidental piecing together of separated things in this case an old newspaper item and the notes of a dead professor,That glimpse like all dread glimpses of truth flashed out from an accidental piecing together of separated things in this case an old newspaper item and the notes of a dead professor
Among these sounds were frequent revolver shots surely not uncommon on a battlefield but distinctly uncommon in an hospital,Among these sounds were frequent revolver shots surely not uncommon on a battlefield but distinctly uncommon in an hospital
Besides what I once was is not in the least relevant to my narrative save perhaps the fact that during my service in India I was more at home amongst white bearded native teachers than amongst my brother officers,Besides what I once was is not in the least relevant to my narrative save perhaps the fact that during my service in India I was more at home amongst white bearded native teachers than amongst my brother officers
He was drowsy near the end and as darkness fell he dropped off into a troubled sleep,He was drowsy near the end and as darkness fell he dropped off into a troubled sleep
On the afternoon of Friday April th then Birch set out for the tomb with horse and wagon to transfer the body of Matthew Fenner,On the afternoon of Friday April th then Birch set out for the tomb with horse and wagon to transfer the body of Matthew Fenner
Such was our frame of mind as we talked far into the night till my uncles growing drowsiness made me remind him to lie down for his two hour sleep,Such was our frame of mind as we talked far into the night till my uncles growing drowsiness made me remind him to lie down for his two hour sleep
Them as ud help special ud git special rewards gold an sech No use balkin fer they was millions of em daown thar,Them as ud help special ud git special rewards gold an sech No use balkin fer they was millions of em daown thar
Steeled by old ordeals in dissecting rooms the doctor entered and looked about stifling the nausea of mind and body that everything in sight and smell induced,Steeled by old ordeals in dissecting rooms the doctor entered and looked about stifling the nausea of mind and body that everything in sight and smell induced
Messrs Ricci and Silva met in Water Street by the old mans front gate and although they did not like the way the moon shone down upon the painted stones through the budding branches of the gnarled trees they had more important things to think about than mere idle superstition,Messrs Ricci and Silva met in Water Street by the old mans front gate and although they did not like the way the moon shone down upon the painted stones through the budding branches of the gnarled trees they had more important things to think about than mere idle superstition
He might he half jestingly said some day teach me to live or at least to possess some kind of conscious existence without any heart at all For his part he was afflicted with a complication of maladies requiring a very exact regimen which included constant cold,He might he half jestingly said some day teach me to live or at least to possess some kind of conscious existence without any heart at all For his part he was afflicted with a complication of maladies requiring a very exact regimen which included constant cold
I could not sleep Saturday night and turned on the lights regardless of the future,I could not sleep Saturday night and turned on the lights regardless of the future
What I have seen would blast ye to a mad statue of stone Back back forward forward look ye puling lack wit And as he snarled the phrase under his breath he gestured anew bringing to the sky a flash more blinding than either which had come before,What I have seen would blast ye to a mad statue of stone Back back forward forward look ye puling lack wit And as he snarled the phrase under his breath he gestured anew bringing to the sky a flash more blinding than either which had come before
Any magazine cover hack can splash paint around wildly and call it a nightmare or a Witches Sabbath or a portrait of the devil but only a great painter can make such a thing really scare or ring true,Any magazine cover hack can splash paint around wildly and call it a nightmare or a Witches Sabbath or a portrait of the devil but only a great painter can make such a thing really scare or ring true
In the first days of his bondage he had turned to the gentle churchly faith endeared to him by the naive trust of his fathers for thence stretched mystic avenues which seemed to promise escape from life,In the first days of his bondage he had turned to the gentle churchly faith endeared to him by the naive trust of his fathers for thence stretched mystic avenues which seemed to promise escape from life
And the bearded man spoke no word but watched me as we approached the lily lined shore,And the bearded man spoke no word but watched me as we approached the lily lined shore
For a season all went happily till without warning the storm burst,For a season all went happily till without warning the storm burst
The rays were now perceptibly dimmer than they had been during the weeks of drifting,The rays were now perceptibly dimmer than they had been during the weeks of drifting
But Sheehan had reckoned without scientific knowledge of abnormal psychology and the effects of nervous stimulus,But Sheehan had reckoned without scientific knowledge of abnormal psychology and the effects of nervous stimulus
Now that he is disappeared I go around to the club once in a while but my nerves are not what they were,Now that he is disappeared I go around to the club once in a while but my nerves are not what they were
Elwood would if awake rouse him whenever he began to talk or rise in his sleep,Elwood would if awake rouse him whenever he began to talk or rise in his sleep
My sense of restlessness returned though I did not exhibit it,My sense of restlessness returned though I did not exhibit it
The men were discussing the strange death of the Mexican as he lay asleep a death seemingly connected in some way with the terrible bolt of lightning which had struck and shaken the mountain,The men were discussing the strange death of the Mexican as he lay asleep a death seemingly connected in some way with the terrible bolt of lightning which had struck and shaken the mountain
For as it was still echoing I heard a creaking sound through the pitchy blackness and knew that a lattice window was opening in that accursed old house beside us,For as it was still echoing I heard a creaking sound through the pitchy blackness and knew that a lattice window was opening in that accursed old house beside us
One window had lost its entire frame and in the other there was not a trace of glass in the little diamond apertures,One window had lost its entire frame and in the other there was not a trace of glass in the little diamond apertures
The undertaker grew doubly lethargic in the bitter weather and seemed to outdo even himself in carelessness,The undertaker grew doubly lethargic in the bitter weather and seemed to outdo even himself in carelessness
It is a mistake to fancy that horror is associated inextricably with darkness silence and solitude,It is a mistake to fancy that horror is associated inextricably with darkness silence and solitude
His figure lean to the proportions of a skeleton was strangely bent and almost lost within the voluminous folds of his peculiar garment,His figure lean to the proportions of a skeleton was strangely bent and almost lost within the voluminous folds of his peculiar garment
From below no sound came but only a distant undefinable foetor and it is not to be wondered at that the men preferred to stay on the edge and argue rather than descend and beard the unknown Cyclopean horror in its lair,From below no sound came but only a distant undefinable foetor and it is not to be wondered at that the men preferred to stay on the edge and argue rather than descend and beard the unknown Cyclopean horror in its lair
I had been there about three weeks when the first odd incident occurred,I had been there about three weeks when the first odd incident occurred
Ibids masterpiece on the other hand was the famous Op,Ibids masterpiece on the other hand was the famous Op
 and some thought a crashing sound followed the breaking off of the exclamation, and some thought a crashing sound followed the breaking off of the exclamation
But at that time some force from outside must serve to liberate Their bodies,But at that time some force from outside must serve to liberate Their bodies
After a time I seemed to hear the stairs and corridors creak at intervals as if with footsteps and wondered if the other rooms were beginning to fill up,After a time I seemed to hear the stairs and corridors creak at intervals as if with footsteps and wondered if the other rooms were beginning to fill up
This impression was sustained by his frequent references to flying through space and burning all that impeded his progress,This impression was sustained by his frequent references to flying through space and burning all that impeded his progress
Thus dwelt Iranon in Oonai the city of lutes and dancing,Thus dwelt Iranon in Oonai the city of lutes and dancing
The eminent critic and biographer was born in the year  shortly after the extinction of the Roman rule in Gaul by Clovis,The eminent critic and biographer was born in the year  shortly after the extinction of the Roman rule in Gaul by Clovis
He would have given much for a lantern or bit of candle but lacking these bungled semi sightlessly as best he might,He would have given much for a lantern or bit of candle but lacking these bungled semi sightlessly as best he might
Harsh but impressive polysyllables had replaced the customary mixture of bad Spanish and worse English and of these only the oft repeated cry Huitzilopotchli seemed in the least familiar,Harsh but impressive polysyllables had replaced the customary mixture of bad Spanish and worse English and of these only the oft repeated cry Huitzilopotchli seemed in the least familiar
It was for this reason that the Nbangus carried it off,It was for this reason that the Nbangus carried it off
College had all but closed and every doctor of the medical faculty was helping to fight the typhoid plague,College had all but closed and every doctor of the medical faculty was helping to fight the typhoid plague
He told em he would knowed of folks as prayed to gods that give somethin ye reely need an says ef a good bunch o men ud stand by him he cud mebbe git a holt o sarten paowers as ud bring plenty o fish an quite a bit o gold,He told em he would knowed of folks as prayed to gods that give somethin ye reely need an says ef a good bunch o men ud stand by him he cud mebbe git a holt o sarten paowers as ud bring plenty o fish an quite a bit o gold
He thought it rather silly that he bothered to keep on living at all and got from a South American acquaintance a very curious liquid to take him to oblivion without suffering,He thought it rather silly that he bothered to keep on living at all and got from a South American acquaintance a very curious liquid to take him to oblivion without suffering
I was willing enough to stay mute while the affair was fresh and uncertain but now that it is an old story with public interest and curiosity gone I have an odd craving to whisper about those few frightful hours in that ill rumoured and evilly shadowed seaport of death and blasphemous abnormality,I was willing enough to stay mute while the affair was fresh and uncertain but now that it is an old story with public interest and curiosity gone I have an odd craving to whisper about those few frightful hours in that ill rumoured and evilly shadowed seaport of death and blasphemous abnormality
It was Ann White who first gave definite shape to the sinister idle talk,It was Ann White who first gave definite shape to the sinister idle talk
In a half stupor I crossed over to the couch and felt of his wrist but found it cold stiff and pulseless,In a half stupor I crossed over to the couch and felt of his wrist but found it cold stiff and pulseless
Nor were there any sea fowl to prey upon the dead things,Nor were there any sea fowl to prey upon the dead things
